User ID,Gender,Age,EstimatedSalary,Purchased
15708196,Male,49,74000,No
15735549,Female,39,134000,Yes
15809347,Female,41,71000,No
15660866,Female,58,101000,Yes
15766609,Female,47,47000,No
15654230,Female,55,130000,Yes
15794566,Female,52,114000,No
15800890,Female,40,142000,Yes
15697424,Female,46,22000,No
15724536,Female,48,96000,Yes
15735878,Male,52,150000,Yes
15707596,Female,59,42000,No
15657163,Male,35,58000,No
15622478,Male,47,43000,No
15779529,Female,60,108000,Yes
15636023,Male,49,65000,No
15582066,Male,40,78000,No
15666675,Female,46,96000,No
15732987,Male,59,143000,Yes
15789432,Female,41,80000,No
15663161,Male,35,91000,Yes
15694879,Male,37,144000,Yes
15593715,Male,60,102000,Yes
15575002,Female,35,60000,No
15622171,Male,37,53000,No
15795224,Female,36,126000,Yes
15685346,Male,56,133000,Yes
15691808,Female,40,72000,No
15721007,Female,42,80000,Yes
15794253,Female,35,147000,Yes
15694453,Male,39,42000,No
15813113,Male,40,107000,Yes
15614187,Male,49,86000,Yes
15619407,Female,38,112000,No
15646227,Male,46,79000,Yes
15660541,Male,40,57000,No
15753874,Female,37,80000,No
15617877,Female,46,82000,No
15772073,Female,53,143000,Yes
15701537,Male,42,149000,Yes
15736228,Male,38,59000,No
15780572,Female,50,88000,Yes
15769596,Female,56,104000,Yes
15586996,Female,41,72000,No
15722061,Female,51,146000,Yes
15638003,Female,35,50000,No
15775590,Female,57,122000,Yes
15730688,Male,41,52000,No
15753102,Female,35,97000,Yes
15810075,Female,44,39000,No
15723373,Male,37,52000,No
15795298,Female,48,134000,Yes
15584320,Female,37,146000,Yes
15724161,Female,50,44000,No
15750056,Female,52,90000,Yes
15609637,Female,41,72000,No
15794493,Male,40,57000,No
15569641,Female,58,95000,Yes
15815236,Female,45,131000,Yes
15811177,Female,35,77000,No
15680587,Male,36,144000,Yes
15672821,Female,55,125000,Yes
15767681,Female,35,72000,No
15600379,Male,48,90000,Yes
15801336,Female,42,108000,Yes
15721592,Male,40,75000,No
15581282,Male,37,74000,No
15746203,Female,47,144000,Yes
15583137,Male,40,61000,No
15680752,Female,43,133000,No
15688172,Female,59,76000,Yes
15791373,Male,60,42000,Yes
15589449,Male,39,106000,Yes
15692819,Female,57,26000,Yes
15727467,Male,57,74000,Yes
15734312,Male,38,71000,No
15764604,Male,49,88000,Yes
15613014,Female,52,38000,Yes
15759684,Female,50,36000,Yes
15609669,Female,59,88000,Yes
15685536,Male,35,61000,No
15750447,Male,37,70000,Yes
15663249,Female,52,21000,Yes
15638646,Male,48,141000,No
15734161,Female,37,93000,Yes
15631070,Female,37,62000,No
15761950,Female,48,138000,Yes
15649668,Male,41,79000,No
15713912,Female,37,78000,Yes
15586757,Male,39,134000,Yes
15596522,Male,49,89000,Yes
15625395,Male,55,39000,Yes
15760570,Male,37,77000,No
15566689,Female,35,57000,No
15725794,Female,36,63000,No
15673539,Male,42,73000,Yes
15705298,Female,43,112000,Yes
15675791,Male,45,79000,No
15747043,Male,46,117000,Yes
15736397,Female,58,38000,Yes
15678201,Male,48,74000,Yes
15720745,Female,37,137000,Yes
15637593,Male,37,79000,Yes
15598070,Female,40,60000,No
15787550,Male,42,54000,No
15603942,Female,51,134000,No
15733973,Female,47,113000,Yes
15596761,Male,36,125000,Yes
15652400,Female,38,50000,No
15717893,Female,42,70000,No
15622585,Male,39,96000,Yes
15733964,Female,38,50000,No
15753861,Female,49,141000,Yes
15747097,Female,39,79000,No
15594762,Female,39,75000,Yes
15667417,Female,54,104000,Yes
15684861,Male,35,55000,No
15742204,Male,45,32000,Yes
15623502,Male,36,60000,No
15774872,Female,52,138000,Yes
15611191,Female,53,82000,Yes
15674331,Male,41,52000,No
15619465,Female,48,30000,Yes
15575247,Female,48,131000,Yes
15695679,Female,41,60000,No
15713463,Male,41,72000,No
15785170,Female,42,75000,No
15796351,Male,36,118000,Yes
15639576,Female,47,107000,Yes
15693264,Male,38,51000,No
15589715,Female,48,119000,Yes
15769902,Male,42,65000,No
15587177,Male,40,65000,No
15814553,Male,57,60000,Yes
15601550,Female,36,54000,No
15664907,Male,58,144000,Yes
15612465,Male,35,79000,No
15810800,Female,38,55000,No
15665760,Male,39,122000,Yes
15588080,Female,53,104000,Yes
15776844,Male,35,75000,No
15717560,Female,38,65000,No
15629739,Female,47,51000,Yes
15729908,Male,47,105000,Yes
15716781,Female,41,63000,No
15646936,Male,53,72000,Yes
15768151,Female,54,108000,Yes
15579212,Male,39,77000,No
15721835,Male,38,61000,No
15800515,Female,38,113000,Yes
15591279,Male,37,75000,No
15587419,Female,42,90000,Yes
15750335,Female,37,57000,No
15699619,Male,36,99000,Yes
15606472,Male,60,34000,Yes
15778368,Male,54,70000,Yes
15671387,Female,41,72000,No
15573926,Male,40,71000,Yes
15709183,Male,42,54000,No
15577514,Male,43,129000,Yes
15778830,Female,53,34000,Yes
15768072,Female,47,50000,Yes
15768293,Female,42,79000,No
15654456,Male,42,104000,Yes
15807525,Female,59,29000,Yes
15574372,Female,58,47000,Yes
15671249,Male,46,88000,Yes
15779744,Male,38,71000,No
15624755,Female,54,26000,Yes
15611430,Female,60,46000,Yes
15774744,Male,60,83000,Yes
15629885,Female,39,73000,No
15708791,Male,59,130000,Yes
15793890,Female,37,80000,No
15646091,Female,46,32000,Yes
15596984,Female,46,74000,No
15800215,Female,42,53000,No
15577806,Male,41,87000,Yes
15749381,Female,58,23000,Yes
15683758,Male,42,64000,No
15670615,Male,48,33000,Yes
15715622,Female,44,139000,Yes
15707634,Male,49,28000,Yes
15806901,Female,57,33000,Yes
15775335,Male,56,60000,Yes
15724150,Female,49,39000,Yes
15627220,Male,39,71000,No
15672330,Male,47,34000,Yes
15668521,Female,48,35000,Yes
15807837,Male,48,33000,Yes
15592570,Male,47,23000,Yes
15748589,Female,45,45000,Yes
15635893,Male,60,42000,Yes
15757632,Female,39,59000,No
15691863,Female,46,41000,Yes
15706071,Male,51,23000,Yes
15654296,Female,50,20000,Yes
15755018,Male,36,33000,No
15594041,Female,49,36000,Yes
